#,Country (or dependency),Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
137,Namibia,"31,53,246",1.95%,"60,430",4,"8,23,290",47,3.13,21.5,55.20%,0.04%
138,Bosnia and Herzegovina,"31,14,242",−0.82%,"−25,853",61,"51,000","−7,581",1.5,46.1,57.10%,0.04%
139,Moldova,"29,61,253",−1.16%,"−34,853",90,"32,850","−16,732",1.72,39.1,58.50%,0.04%
140,Armenia,"29,30,915",−0.73%,"−21,450",103,"28,470","−27,000",1.71,37.2,64.40%,0.04%
141,Gambia,"28,84,079",2.20%,"61,986",285,"10,120","−2,894",3.7,18.8,62.20%,0.04%
142,Jamaica,"28,33,403",−0.13%,"−3,674",262,"10,830","−11,683",1.33,33.3,60.70%,0.03%
143,Lithuania,"27,97,338",−1.16%,"−32,806",45,"62,674","−4,846",1.22,42.6,68.90%,0.03%
144,Albania,"27,51,025",−0.74%,"−20,483",100,"27,400","−22,595",1.32,37.8,71.60%,0.03%
145,Gabon,"26,47,399",2.09%,"54,269",10,"2,57,670","1,152",3.49,21.6,83.80%,0.03%
146,Botswana,"26,03,388",1.61%,"41,266",5,"5,66,730","−4,169",2.63,23.7,76.10%,0.03%
147,Lesotho,"23,89,336",1.10%,"26,011",79,"30,360","−4,876",2.61,22.1,33.30%,0.03%
148,Guinea-Bissau,"22,97,808",2.15%,"48,293",82,"28,120","−1,893",3.62,19.6,46.60%,0.03%
149,Slovenia,"21,14,573",−0.12%,"−2,499",105,"20,140","2,609",1.58,45,56.10%,0.03%
150,Equatorial Guinea,"19,84,468",2.37%,"46,037",71,"28,050","3,533",3.96,20.9,64.20%,0.02%
151,Latvia,"18,35,935",−0.95%,"−17,624",30,"62,200",−360,1.35,43.8,67.70%,0.02%
152,North Macedonia,"18,04,063",−0.54%,"−9,728",72,"25,220","−5,731",1.47,41.4,70.30%,0.02%
153,Bahrain,"16,75,572",1.96%,"32,240","2,205",760,"14,280",1.77,33.4,–,0.02%
154,Trinidad and Tobago,"15,13,268",0.14%,"2,113",295,"5,130",160,1.52,38.2,49.10%,0.02%
155,Timor-Leste,"14,36,923",1.30%,"18,406",97,"14,870","−1,695",2.5,22.1,36.70%,0.02%
156,Cyprus,"13,82,334",0.84%,"11,580",150,"9,240","7,210",1.37,39.1,61.10%,0.02%
157,Estonia,"13,31,062",−0.98%,"−13,170",31,"42,390",−716,1.38,43.2,67.50%,0.02%
158,Eswatini,"12,69,859",1.09%,"13,685",74,"17,200","−5,493",2.64,22.7,31.70%,0.02%
159,Mauritius,"12,65,059",−0.25%,"−3,221",623,"2,030","−2,679",1.21,38.3,41.80%,0.02%
160,Djibouti,"11,99,459",1.30%,"15,383",52,"23,180",302,2.54,25.2,71.40%,0.01%
161,Fiji,"9,37,282",0.44%,"4,128",51,"18,270","−3,385",2.23,28.3,61.30%,0.01%
162,Comoros,"8,99,010",1.83%,"16,163",483,"1,861","−2,225",3.71,20.7,34%,0.01%
163,Réunion,"8,86,298",0.44%,"3,893",355,"2,500","−2,079",2.12,38.4,–,0.01%
164,Solomon Islands,"8,58,288",2.34%,"19,643",31,"27,990","1,570",3.42,20.9,23%,0.01%
165,Guyana,"8,40,890",0.59%,"4,904",4,"1,96,850","−4,787",2.35,26.5,26.80%,0.01%
166,Bhutan,"8,02,214",0.69%,"5,532",21,"38,117",633,1.43,31,51.10%,0.01%
167,Macao,"7,23,188",0.16%,"1,181","24,106",30,826,0.7,40.3,98.30%,0.01%
168,Luxembourg,"6,87,448",1.03%,"6,995",265,"2,590","4,938",1.41,39.7,87.40%,0.01%
169,Suriname,"6,45,256",0.84%,"5,406",4,"1,56,000",−965,2.19,28.9,62.40%,0.01%
170,Montenegro,"6,26,233",−1.03%,"−6,496",47,"13,450","−2,824",1.79,40.4,69.70%,0.01%
171,Western Sahara,"6,10,813",1.65%,"9,909",2,"2,66,000","4,689",2.13,32.8,97.60%,0.01%
172,Malta,"5,49,011",0.66%,"3,606","1,716",320,"2,157",1.12,41.5,76.20%,0.01%
173,Maldives,"5,31,517",0.35%,"1,841","1,772",300,"−2,079",1.53,33.4,40.30%,0.01%
174,Cabo Verde,"5,29,630",0.44%,"2,304",131,"4,030","−1,338",1.49,29.5,79.60%,0.01%
175,Brunei,"4,69,775",0.74%,"3,445",89,"5,270",8,1.7,33.2,80.60%,0.01%
176,Belize,"4,28,644",1.35%,"5,720",19,"22,810",392,1.99,27.3,49%,0.01%
177,Bahamas,"4,04,628",0.40%,"1,595",40,"10,010",902,1.36,35.7,88.90%,0.00%
178,Iceland,"4,02,329",1.02%,"4,063",4,"1,00,250","2,027",1.49,36.6,83.70%,0.00%
179,Guadeloupe,"3,72,453",−0.36%,"−1,338",220,"1,690","−1,442",2.04,47.4,–,0.00%
180,Mayotte,"3,47,536",3.12%,"10,525",927,375,−2,4.43,17.3,41.10%,0.00%
181,Vanuatu,"3,42,564",2.21%,"7,395",28,"12,190",−113,3.5,20.3,25.50%,0.00%
182,Martinique,"3,37,711",−0.8%,"−2,728",319,"1,060","−2,264",1.95,50.2,–,0.00%
183,French Guiana,"3,18,872",1.66%,"5,206",4,"82,200",−765,3.25,24.9,95.20%,0.00%
184,New Caledonia,"2,97,892",0.87%,"2,559",16,"18,280",348,1.93,34.8,76.30%,0.00%
185,French Polynesia,"2,83,076",0.22%,611,77,"3,660","−1,158",1.47,36.7,66.30%,0.00%
186,Barbados,"2,82,724",0.04%,101,657,430,−98,1.71,39.7,32.70%,0.00%
187,Sao Tome & Principe,"2,44,994",1.97%,"4,740",255,960,−691,3.47,19.7,78.90%,0.00%
188,Samoa,"2,20,528",0.56%,"1,222",78,"2,830","−2,792",3.7,19.8,16.30%,0.00%
189,Curaçao,"1,85,440",−0.03%,−47,418,444,462,1.07,39,81.20%,0.00%
190,Saint Lucia,"1,80,488",0.19%,339,296,610,−49,1.37,35.1,20.10%,0.00%
191,Guam,"1,70,185",0.70%,"1,186",315,540,−471,2.68,31.6,98.90%,0.00%
192,Kiribati,"1,38,445",1.43%,"1,957",171,810,−441,3.06,23,57.90%,0.00%
193,Seychelles,"1,34,959",1.64%,"2,180",293,460,"1,367",2.06,34.6,43.40%,0.00%
194,Grenada,"1,17,362",0.05%,59,345,340,−199,1.45,34.9,35.80%,0.00%
195,Micronesia,"1,14,183",0.44%,500,163,700,"−1,121",2.67,23.5,23.80%,0.00%
196,Aruba,"1,08,164",0.02%,17,601,180,73,1.6,41.7,45.10%,0.00%
197,Tonga,"1,03,291",−0.43%,−451,143,720,"−2,117",3.04,21,26.40%,0.00%
198,St. Vincent & Grenadines,"99,245",−0.68%,−679,254,390,−671,1.73,34.7,62.60%,0.00%
199,Antigua and Barbuda,"94,626",0.44%,417,215,440,−2,1.57,36.7,28.60%,0.00%
200,Isle of Man,"84,055",−0.07%,−63,147,570,158,1.53,46.3,57.30%,0.00%
201,Andorra,"83,753",1.02%,849,178,470,751,1.1,44.2,81.60%,0.00%
202,U.S. Virgin Islands,"83,400",−0.88%,−738,238,350,−360,2.05,44.9,–,0.00%
203,Cayman Islands,"77,196",1.78%,"1,352",322,240,888,1.5,39.1,88.50%,0.00%
204,Dominica,"65,511",−0.55%,−360,87,750,−241,1.46,36.6,85.60%,0.00%
205,Bermuda,"64,459",−0.15%,−96,"1,289",50,−9,1.42,46.4,93%,0.00%
206,Faeroe Islands,"56,526",0.94%,524,40,"1,396",311,2.19,37.1,39.50%,0.00%
207,Greenland,"55,629",−0.21%,−116,0,"4,10,450",−249,1.9,35.5,91.20%,0.00%
208,Turks and Caicos,"47,148",0.63%,293,50,950,151,1.43,39.6,80%,0.00%
209,Saint Kitts & Nevis,"46,992",0.15%,70,181,260,11,1.5,36.5,39.80%,0.00%
210,American Samoa,"45,319",−1.54%,−710,227,200,"−1,004",2.22,29.1,–,0.00%
211,Sint Maarten,"44,447",1.19%,524,"1,307",34,485,1.42,42,99.60%,0.00%
212,Northern Mariana Islands,"42,914",−1.44%,−627,93,460,−790,2.24,38.8,–,0.00%
213,Gibraltar,"40,867",1.85%,741,"4,087",10,480,1.88,38.8,87.10%,0.00%
214,Liechtenstein,"40,368",0.60%,240,252,160,193,1.54,44.7,14.80%,0.00%
215,British Virgin Islands,"39,936",0.51%,204,266,150,105,1.06,39.1,43.90%,0.00%
216,Monaco,"38,087",−0.66%,−254,"25,562",1,106,2.08,53.1,–,0.00%
217,Marshall Islands,"35,075",−3.33%,"−1,207",195,180,"−1,575",2.77,20.5,–,0.00%
218,San Marino,"33,605",0.10%,33,560,60,127,1.17,49.1,–,0.00%
219,Caribbean Netherlands,"31,913",1.83%,575,97,328,509,1.44,39.7,64.90%,0.00%
220,Saint Martin,"23,898",−4.18%,"−1,043",451,53,"−1,034",2.59,43.9,–,0.00%
221,Palau,"17,614",−0.28%,−49,38,460,−22,1.84,38.9,–,0.00%
222,Anguilla,"14,817",0.60%,89,165,90,33,1.34,39.1,–,0.00%
223,Cook Islands,"12,826",−3.29%,−437,53,240,−419,1.98,38.1,–,0.00%
224,Nauru,"12,101",0.63%,76,605,20,−111,3.21,20.2,93.80%,0.00%
225,Saint Barthelemy,"11,550",1.19%,136,550,21,143,0.84,39.1,–,0.00%
226,Wallis & Futuna,"11,113",−0.72%,−81,79,140,−80,1.39,38.6,–,0.00%
227,Tuvalu,"9,362",−1.37%,−130,312,30,−225,3.1,24.1,89%,0.00%
228,Saint Pierre & Miquelon,"5,513",−1.09%,−61,24,230,−9,1.28,47.6,–,0.00%
229,Saint Helena,"5,147",−0.96%,−50,13,390,0,1.64,51,34.10%,0.00%
230,Montserrat,"4,328",−0.71%,−31,43,100,−10,1.45,41.8,11.70%,0.00%
231,Falkland Islands,"3,465",−0.12%,−4,0,"12,170",−16,1.69,43.4,68.40%,0.00%
232,Tokelau,"2,691",3.18%,83,269,10,43,2.54,27.6,–,0.00%
233,Niue,"1,822",0.05%,1,7,260,2,2.44,35.1,45.20%,0.00%
234,Holy See,506,1%,5,"1,265",0,13,1,56.2,–,0.00%
